headline,link
धनगढीका नयाँ उम्मेदवारसँग मतदाताका पुरानै माग,"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/voters-old-demands-from-dhangadhis-new-candidate-14-20.html"" onclick=""gaEvent('Kantipur Top News','Clicked','धनगढीका नयाँ उम्मेदवारसँग मतदाताका पुरानै माग')"">धनगढीका नयाँ उम्मेदवारसँग मतदाताका पुरानै माग</a>"
"सुन र अमेरिकी डलरको मूल्य हरेक दिन नयाँ उचाइमा, किन ?","<a data-type=""title"" href=""https://ekantipur.com/business/2026/01/27/gold-and-us-dollar-prices-reach-new-highs-every-day-why-43-54.html"" onclick=""gaEvent('Kantipur Top News','Clicked','सुन र अमेरिकी डलरको मूल्य हरेक दिन नयाँ उचाइमा, किन ?')"">सुन र अमेरिकी डलरको मूल्य हरेक दिन नयाँ उचाइमा, किन ?</a>"
समग्रमा ३ लाख ३७ हजार सुरक्षाकर्मी परिचालन गरिँदै,"<a data-type=""title"" href=""https://ekantipur.com/news/2026/01/27/a-total-of-337000-security-personnel-are-being-mobilized-46-47.html"" onclick=""gaEvent('Kantipur Top News','Clicked','समग्रमा ३ लाख ३७ हजार सुरक्षाकर्मी परिचालन गरिँदै')"">समग्रमा ३ लाख ३७ हजार सुरक्षाकर्मी परिचालन गरिँदै</a>"
रोकियो नेपालको यात्रा,"<a data-type=""title"" href=""https://ekantipur.com/sports/2026/01/27/nepal-trip-halted-14-31.html"" onclick=""gaEvent('Kantipur Top News','Clicked','रोकियो नेपालको यात्रा')"">रोकियो नेपालको यात्रा</a>"
बागलुङका ‘ब्रान्ड’ चित्रबहादुर,"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/chitra-bahadur-the-brand-of-baglung-03-14.html"" onclick=""gaEvent('Kantipur Top News','Clicked','बागलुङका ‘ब्रान्ड’ चित्रबहादुर')"">बागलुङका ‘ब्रान्ड’ चित्रबहादुर</a>"
"प्रमुख दलहरूले लोपोन्मुख समुदायका उम्मेदवार रोजेनन्, अन्य दलबाट ३ जना","<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/major-parties-did-not-select-candidates-from-endangered-communities-3-from-other-parties-55-05.html"" onclick=""gaEvent('Kantipur Top News','Clicked','प्रमुख दलहरूले लोपोन्मुख समुदायका उम्मेदवार रोजेनन्, अन्य दलबाट ३ जना')"">प्रमुख दलहरूले लोपोन्मुख समुदायका उम्मेदवार रोजेनन्, अन्य दलबाट ३ जना</a>"
लगानी प्रतिबद्धता ५२ प्रतिशतले बढ्यो,"<a data-type=""title"" href=""https://ekantipur.com/business/2026/01/27/investment-commitments-increased-by-52-percent-48-05.html"" onclick=""gaEvent('Kantipur Top News','Clicked','लगानी प्रतिबद्धता ५२ प्रतिशतले बढ्यो')"">लगानी प्रतिबद्धता ५२ प्रतिशतले बढ्यो</a>"
राइड सेयरिङ कम्पनी इन्ड्राइभले चालकलाई सुरक्षा तालिम दियो ,"<a href=""https://ekantipur.com/Other/2026/01/22/ride-sharing-company-indrive-provides-safety-training-to-drivers-50-05.html"">राइड सेयरिङ कम्पनी इन्ड्राइभले चालकलाई सुरक्षा तालिम दियो </a>"
"गण्डकी, कर्णाली र सुदूरपश्चिमका उच्च पहाडी भूभागमा आंशिक वर्षाको सम्भावना","<a href=""https://ekantipur.com/news/2026/01/27/possibility-of-partial-rain-in-the-high-hilly-areas-of-gandaki-karnali-and-sudurpaschim-23-30.html"" onclick=""gaEvent('Homepage Category','समाचार','गण्डकी, कर्णाली र सुदूरपश्चिमका उच्च पहाडी भूभागमा आंशिक वर्षाको सम्भावना');"">गण्डकी, कर्णाली र सुदूरपश्चिमका उच्च पहाडी भूभागमा आंशिक वर्षाको सम्भावना</a>"
गैंडाको आक्रमणबाट घाइते अशोकको उपचारका क्रममा निधन,"<a href=""https://ekantipur.com/news/2026/01/27/ashok-injured-in-rhino-attack-dies-during-treatment-24-09.html"" onclick=""gaEvent('Homepage Category','समाचार','गैंडाको आक्रमणबाट घाइते अशोकको उपचारका क्रममा निधन');"">गैंडाको आक्रमणबाट घाइते अशोकको उपचारका क्रममा निधन</a>"
